BioImpReal,BioImpImaginary,PacketCounter,TimeStamp
-759.5877685546875,-378.4544982910156,89,1690500818.405731
-794.952392578125,-361.5014953613281,90,1690500819.0060182
-830.1049194335938,-338.7578430175781,91,1690500819.6070051
-860.7261352539062,-314.2456970214844,92,1690500820.2069967
-875.688720703125,-290.650146484375,93,1690500820.805994
-885.0911254882812,-263.3677673339844,94,1690500821.4061208
-900.8517456054688,-229.89002990722656,95,1690500822.005521
-905.95654296875,-205.88934326171875,96,1690500822.6056736
-903.890625,-176.6070556640625,97,1690500823.2055619
-900.7318115234375,-147.05581665039062,98,1690500823.8060353
-901.9420776367188,-121.13542175292969,99,1690500824.4053752
-298.00946044921875,38.52161407470703,0,1690500825.0957742
296.4104919433594,-24.31685447692871,1,1690500825.6954505
272.2599182128906,-30.547109603881836,2,1690500826.2960207
266.9987487792969,-33.17948913574219,3,1690500826.8652885
250.07003784179688,-31.95729637145996,4,1690500827.4953938
259.70849609375,-33.61103820800781,5,1690500828.065778
242.01451110839844,-31.30170249938965,6,1690500828.665103
238.43515014648438,-31.019542694091797,7,1690500829.26529
252.47756958007812,-32.937744140625,8,1690500829.83518
237.55104064941406,-29.89342498779297,9,1690500830.4651601
249.5409698486328,-30.892221450805664,10,1690500831.0658789
229.66737365722656,-27.786230087280273,11,1690500831.6353729
238.75711059570312,-28.265958786010742,12,1690500832.235261
248.36422729492188,-28.852706909179688,13,1690500832.8355107
243.5799102783203,-27.425806045532227,14,1690500833.465802
227.8915557861328,-25.07831573486328,15,1690500834.0352197
238.12484741210938,-25.67223358154297,16,1690500834.635756
220.38433837890625,-23.13913917541504,17,1690500835.2357638
224.85240173339844,-23.109357833862305,18,1690500835.8350503
232.28933715820312,-23.496973037719727,19,1690500836.4348288
240.04531860351562,-23.615394592285156,20,1690500837.0355904
244.9508514404297,-23.969362258911133,21,1690500837.6355293
219.2279815673828,-20.90304183959961,22,1690500838.2356474
221.41331481933594,-20.816720962524414,23,1690500838.8357427
226.4490203857422,-20.902097702026367,24,1690500839.434913
231.4308624267578,-20.926559448242188,25,1690500840.0356
239.35519409179688,-21.156478881835938,26,1690500840.6354492
244.52499389648438,-21.040372848510742,27,1690500841.2380478
249.34078979492188,-22.414569854736328,28,1690500841.8353884
258.01287841796875,-22.40538787841797,29,1690500842.435288
215.52923583984375,-18.134668350219727,30,1690500843.0350082
217.8430633544922,-17.818035125732422,31,1690500843.6349237
220.1106414794922,-17.468555450439453,32,1690500844.205236
225.04237365722656,-17.2855281829834,33,1690500844.8051732
227.52749633789062,-16.92300796508789,34,1690500845.4049175
232.7344207763672,-16.814966201782227,35,1690500846.0047314
237.99359130859375,-16.595600128173828,36,1690500846.6048543
240.1853790283203,-16.14016342163086,37,1690500847.204904
245.4360809326172,-15.829718589782715,38,1690500847.8051584
250.87379455566406,-15.709296226501465,39,1690500848.4058156
252.8155059814453,-13.861929893493652,40,1690500849.0054085
258.8702087402344,-14.831424713134766,41,1690500849.6053772
258.3111877441406,-14.09636402130127,42,1690500850.2051663
264.3312072753906,-15.049818992614746,43,1690500850.80554
272.5535888671875,-13.33229923248291,44,1690500851.4056633
277.94610595703125,-12.722430229187012,45,1690500852.0053496
283.5434265136719,-12.019112586975098,46,1690500852.6054034
213.0325469970703,-8.013131141662598,47,1690500853.2057621
211.98001098632812,-7.069538593292236,48,1690500853.8057485
211.0283660888672,-5.980727672576904,49,1690500854.406814
211.25390625,-6.1884074211120605,50,1690500855.0061436
211.62911987304688,-3.6689155101776123,51,1690500855.6061678
213.06802368164062,-2.1997575759887695,52,1690500856.2062085
214.57260131835938,-0.6071529388427734,53,1690500856.8054998
215.71633911132812,1.5857758522033691,54,1690500857.4051921
217.4910430908203,2.2106995582580566,55,1690500858.0051155
218.46002197265625,5.540449619293213,56,1690500858.6052835
220.21023559570312,9.324746131896973,57,1690500859.2060385
229.69888305664062,9.82069206237793,58,1690500859.805136
241.07131958007812,12.481334686279297,59,1690500860.4055965
253.8933563232422,19.203065872192383,60,1690500860.9761336
267.1596984863281,31.23821258544922,61,1690500861.5763037
279.3944396972656,51.41220474243164,62,1690500862.1761794
286.6199035644531,78.87952423095703,63,1690500862.7761333
-285.49505615234375,-108.8470230102539,64,1690500863.3761597
-272.7954406738281,-142.37567138671875,65,1690500863.9761858
-254.7763214111328,-170.0865936279297,66,1690500864.5761833
-230.21221923828125,-182.3548583984375,67,1690500865.1753829
-212.45753479003906,-190.9886474609375,68,1690500865.7760327
-201.43113708496094,-191.60324096679688,69,1690500866.374945
-195.45249938964844,-188.50721740722656,70,1690500866.9762948
-197.640869140625,-201.60299682617188,71,1690500867.5757105
-205.36729431152344,-219.83033752441406,72,1690500868.175637
-217.65679931640625,-239.25119018554688,73,1690500868.7759824
-233.84567260742188,-257.33233642578125,74,1690500869.376058
-255.01953125,-280.7627258300781,75,1690500869.9757874
-285.14373779296875,-306.97808837890625,76,1690500870.6058958
-316.51202392578125,-329.6822509765625,77,1690500871.1760318
-351.4487609863281,-351.281982421875,78,1690500871.7754211
-388.6789245605469,-372.42779541015625,79,1690500872.3755522
-424.7447509765625,-389.1317138671875,80,1690500873.0060556
-456.49774169921875,-392.35833740234375,81,1690500873.576994
-497.3196716308594,-405.92181396484375,82,1690500874.175046
-548.5554809570312,-419.3106384277344,83,1690500874.7760878
-589.7388305664062,-426.5600891113281,84,1690500875.375404
-639.612060546875,-428.5216979980469,85,1690500875.975368
-689.3567504882812,-428.9002380371094,86,1690500876.5760443
-686.4529418945312,-396.9441833496094,87,1690500877.175982
-729.2957763671875,-384.44482421875,88,1690500877.7753723
-760.3610229492188,-371.7955322265625,89,1690500878.3753123
-793.8278198242188,-354.7669372558594,90,1690500878.9753692
-828.6543579101562,-333.8377685546875,91,1690500879.5756807
-858.9127197265625,-308.53265380859375,92,1690500880.1751962
-873.9258422851562,-285.05364990234375,93,1690500880.775367
-882.771484375,-258.9306335449219,94,1690500881.375145
-898.70556640625,-225.88258361816406,95,1690500881.97633
-903.47119140625,-202.19322204589844,96,1690500882.575451
-901.6217651367188,-174.6154327392578,97,1690500883.17557
-898.5668334960938,-145.02720642089844,98,1690500883.7756782
-900.1248168945312,-119.35125732421875,99,1690500884.3753629
-298.81134033203125,38.00324630737305,0,1690500885.065772
296.4795837402344,-24.34504508972168,1,1690500885.6646647
272.0430908203125,-30.63397789001465,2,1690500886.265824
266.8677673339844,-33.29144287109375,3,1690500886.8351967
249.8361358642578,-32.029300689697266,4,1690500887.464968
259.3436279296875,-33.71858215332031,5,1690500888.0353477
241.8282928466797,-31.381956100463867,6,1690500888.634774
238.2361602783203,-31.112085342407227,7,1690500889.2347245
252.1278533935547,-33.00362777709961,8,1690500889.8053412
237.39682006835938,-29.990726470947266,9,1690500890.4050248
249.28489685058594,-31.006839752197266,10,1690500891.0050812
229.30996704101562,-27.843643188476562,11,1690500891.6046784
238.4971466064453,-28.36313247680664,12,1690500892.1752439
248.06314086914062,-28.92368507385254,13,1690500892.7751186
243.01939392089844,-27.485090255737305,14,1690500893.4055984
227.51690673828125,-25.167055130004883,15,1690500894.0052514
237.5696258544922,-25.669015884399414,16,1690500894.6051664
219.87765502929688,-23.174148559570312,17,1690500895.2053592
224.38070678710938,-23.1518611907959,18,1690500895.805202
231.719482421875,-23.53455352783203,19,1690500896.405323
239.3054656982422,-23.607038497924805,20,1690500897.0050375
244.35533142089844,-23.96190071105957,21,1690500897.6049175
218.87413024902344,-20.92306900024414,22,1690500898.2053773
220.98684692382812,-20.81433868408203,23,1690500898.775425
225.89271545410156,-20.886398315429688,24,1690500899.375563
230.81683349609375,-20.991785049438477,25,1690500899.975439
238.82449340820312,-21.179960250854492,26,1690500900.574915
243.9657440185547,-21.055885314941406,27,1690500901.1760204
248.8369903564453,-22.412353515625,28,1690500901.7751455
257.3232727050781,-22.45136260986328,29,1690500902.3758447
215.02792358398438,-18.21501922607422,30,1690500902.9757085
217.42437744140625,-17.877113342285156,31,1690500903.5747013
219.66815185546875,-17.48917007446289,32,1690500904.1752944
224.71429443359375,-17.355457305908203,33,1690500904.77526
227.09564208984375,-17.0123233795166,34,1690500905.3763127
232.00613403320312,-16.70012855529785,35,1690500905.9755242
237.25082397460938,-16.521116256713867,36,1690500906.5754402
239.68141174316406,-16.141061782836914,37,1690500907.1759121
244.68783569335938,-15.904096603393555,38,1690500907.7758405
250.02098083496094,-15.677127838134766,39,1690500908.3756638
251.95150756835938,-13.83205795288086,40,1690500908.975001
257.71075439453125,-14.787615776062012,41,1690500909.5758386
257.1773376464844,-14.051321029663086,42,1690500910.1747382
263.2601013183594,-14.864133834838867,43,1690500910.7746387
271.05865478515625,-13.17900276184082,44,1690500911.3746305
