PPG_IR1,PPG_IR2,PPG_G1,PPG_G2,PacketCounter,PacketLoss
25808,25095,149125,150855,4180,0
25782,25080,149126,150835,4190,0
25838,25128,149079,150798,4200,0
25860,25153,149111,150833,4210,0
25824,25126,149150,150882,4220,0
25798,25100,149080,150833,4230,0
25805,25077,149076,150791,4240,0
25847,25132,149241,150831,4250,0
25878,25157,148955,150828,4260,0
25822,25127,149124,150846,4270,0
25810,25126,149155,150860,4280,0
25673,24999,149070,150801,4290,0
25942,25104,149065,150767,4300,0
25805,25167,149102,150844,4310,0
25723,25049,149114,150842,4320,0
25916,25133,149059,150788,4330,0
25826,25106,149096,150815,4340,0
25845,24928,149116,150836,4350,0
25807,25105,149037,150731,4360,0
25823,25131,149086,150794,4370,0
25819,25110,149096,150827,4380,0
25801,25085,149126,150864,4390,0
25864,24993,149066,150786,4400,0
25818,24840,149087,150815,4410,0
25791,25099,149113,150842,4420,0
25825,25130,149052,150799,4430,0
25861,25160,149071,150811,4440,0
25807,25100,149100,150816,4450,0
25808,25102,149102,150834,4460,0
25837,25132,149082,150818,4470,0
25806,25119,148978,150786,4480,0
25852,25157,149175,150784,4490,0
25821,25104,149122,150853,4500,0
25830,25042,149000,150856,4510,0
25789,25077,149084,150824,4520,0
25813,25149,149055,150756,4530,0
25788,25074,149065,150778,4540,0
25896,25104,149089,150843,4550,0
25599,25052,149093,150826,4560,0
25834,25139,149118,150860,4570,0
25804,25120,149085,150824,4580,0
25805,25113,149056,150765,4590,0
25827,25119,149041,150772,4600,0
26004,25291,151451,152896,4610,0
26181,25455,153871,155340,4620,0
26183,25475,153775,155240,4630,0
26250,25545,153803,155281,4640,0
26198,25350,153849,155336,4650,0
26204,25489,153833,155303,4660,0
26227,25509,153837,155312,4670,0
26225,25505,153777,155256,4680,0
26243,25516,153829,155262,4690,0
26199,25466,153876,155354,4700,0
26185,25465,153832,155202,4710,0
26198,25484,153760,155237,4720,0
26240,25527,153759,155197,4730,0
26213,25429,154080,155319,4740,0
26200,25506,153629,155285,4750,0
26181,25447,153541,155296,4760,0
26234,25520,153105,155286,4770,0
26125,25503,153890,155348,4780,0
26366,25494,153772,155202,4790,0
26145,25523,153828,155307,4800,0
26159,25488,153842,155306,4810,0
26243,25509,153798,155269,4820,0
26216,25486,153785,155249,4830,0
26221,25512,153808,155308,4840,0
26230,25476,153805,155277,4850,0
26202,25506,153826,155289,4860,0
26180,25452,153806,155290,4870,0
26233,25351,153758,155260,4880,0
26206,25457,153807,155287,4890,0
26202,25491,153802,155274,4900,0
26214,25505,153811,155300,4910,0
26196,25478,153793,155284,4920,0
26213,25475,153778,155252,4930,0
26205,25478,153784,155263,4940,0
26232,25511,153812,155274,4950,0
26179,25472,153787,155266,4960,0
26219,25516,153751,155304,4970,0
26229,25512,153927,155267,4980,0
26202,25480,153838,155321,4990,0
26189,25475,153729,155312,5000,0
26179,25462,153782,155262,5010,0
26176,25479,153839,155303,5020,0
26207,25396,153770,155238,5030,0
26325,25501,153777,155248,5040,0
26071,25483,153793,155269,5050,0
26231,25474,153828,155293,5060,0
26175,25477,153826,155291,5070,0
26210,25494,153777,155279,5080,0
26205,25485,153754,155230,5090,0
26217,25514,153754,155208,5100,0
26210,25517,153836,155319,5110,0
26486,25761,153792,155291,5120,0
26607,25900,153809,155300,5130,0
26584,25862,153798,155278,5140,0
26628,25819,153785,155264,5150,0
26631,25922,153784,155268,5160,0
26605,25874,153826,155296,5170,0
26599,25869,153817,155282,5180,0
26634,25742,153784,155234,5190,0
26642,25949,153747,155214,5200,0
26650,25923,153779,155272,5210,0
26601,25858,153733,155247,5220,0
26613,25885,153997,155234,5230,0
26649,25911,153566,155245,5240,0
26653,25859,153865,155246,5250,0
26613,25886,153396,155296,5260,0
26544,25917,153866,155297,5270,0
26784,25900,153780,155275,5280,0
26520,25851,153776,155186,5290,0
26588,25892,153773,155251,5300,0
26663,25938,153777,155268,5310,0
26594,25841,153753,155226,5320,0
26617,25877,153790,155249,5330,0
26615,25880,153771,155190,5340,0
26621,25894,153803,155288,5350,0
26600,25861,153777,155270,5360,0
26603,25872,153777,155257,5370,0
26614,25899,153780,155261,5380,0
26648,25947,153754,155236,5390,0
26615,25909,153817,155304,5400,0
26433,25864,153749,155218,5410,0
26624,25895,153769,155232,5420,0
26653,25931,153787,155293,5430,0
26588,25861,153810,155290,5440,0
26623,25894,153806,155144,5450,0
26596,25850,153698,155290,5460,0
26612,25889,153845,155274,5470,0
26595,25874,153804,155233,5480,0
26621,25907,153644,155219,5490,0
26579,25854,153798,155282,5500,0
26611,25904,153768,155237,5510,0
26556,25906,153812,155296,5520,0
26715,25879,153762,155256,5530,0
26489,25893,153743,155220,5540,0
26678,25901,153775,155217,5550,0
26619,25902,153782,155276,5560,0
26612,25882,153789,155274,5570,0
26596,25868,153784,155262,5580,0
26611,25896,153768,155266,5590,0
26619,25909,153763,155222,5600,0
26619,25904,153725,155198,5610,0
26639,25919,153747,155257,5620,0
26948,26229,157855,159357,5630,0
27039,26291,158756,160238,5640,0
27023,26293,158755,159867,5650,0
27058,26345,158770,160244,5660,0
27037,26290,158803,160293,5670,0
27028,26298,158789,160240,5680,0
26999,26266,158771,160239,5690,0
27014,26280,158733,160191,5700,0
27082,26352,158644,160180,5710,0
27073,26342,158901,160206,5720,0
27066,26347,158706,160211,5730,0
27042,26283,158629,160206,5740,0
27057,26285,158798,160249,5750,0
27008,26096,158779,160220,5760,0
26984,26309,158775,160235,5770,0
27170,26288,158751,160208,5780,0
26927,26317,158708,160174,5790,0
27096,26301,158765,160227,5800,0
27007,26276,158770,160238,5810,0
27079,26288,158719,160178,5820,0
27043,26318,158719,160180,5830,0
27021,26287,158801,160286,5840,0
27059,26328,158727,160174,5850,0
27018,26292,158694,160151,5860,0
26989,26251,158764,160238,5870,0
27068,26342,158763,160227,5880,0
27019,26274,158720,160181,5890,0
27038,26295,158686,160166,5900,0
27118,26383,158738,160202,5910,0
27026,26310,158747,160222,5920,0
27038,26297,158744,160190,5930,0
27023,26269,158792,160261,5940,0
27004,26278,158684,160229,5960,-10
27028,26271,158785,160212,5970,0
27059,26303,158860,159973,5980,0
26981,26142,158569,160204,5990,0
27053,26333,158777,160189,6010,-10
26970,26336,158740,160213,6020,0
27244,26316,158754,160022,6030,0
26875,26276,158739,160213,6040,0
27108,26331,158720,160181,6050,0
26957,26283,158716,160182,6060,0
27043,26282,158704,160183,6070,0
27038,26301,158719,160198,6080,0
27057,26327,158732,160204,6090,0
27032,26109,158731,160210,6100,0
27002,26278,158754,160215,6110,0
27005,26261,158692,160184,6120,0
27044,26310,158705,160190,6130,0
27055,26305,158726,160156,6140,0
27005,26244,158714,160181,6150,0
27007,26294,158738,160194,6160,0
27459,26700,158715,160191,6170,0
27452,26698,158723,160190,6180,0
27379,26612,158759,160225,6190,0
27436,26692,158686,160179,6200,0
27495,26745,158510,159738,6210,0
27445,26711,158880,160123,6220,0
27448,26691,158728,160229,6230,0
27404,26651,158680,160162,6240,0
27418,26680,158759,160117,6250,0
27439,26707,158718,160182,6260,0
27384,26399,158766,160234,6270,0
27570,26685,158740,160225,6280,0
27258,26661,158719,160183,6290,0
27485,26682,158732,160219,6300,0
27371,26682,158689,160181,6310,0
27494,26725,158670,160167,6320,0
27464,26716,158712,160168,6330,0
27400,26639,158740,160218,6340,0
27423,26663,158689,160151,6350,0
27477,26753,158719,160136,6360,0
27489,26744,158732,160212,6370,0
27438,26710,158692,160155,6380,0
27423,26660,158709,160177,6390,0
